item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib
12,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib
13,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib
14,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib
15,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,prime_rib,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen
16,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen
17,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen
18,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen
19,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen
20,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen
21,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen
22,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen
23,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,ramen,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger
24,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger
25,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger
26,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger
27,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger
28,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger,hamburger
